,TS_OX1_RS,TS_OX1_SM,TS_OX1_SCM,TS_OX1_IM
0,-4512.4937251269,-2765.064240636761,-4446.441723835877,-4413.562890303869
1,-3552.4937631014313,-3196.383568845595,-4446.441723835877,-4413.562890303869
2,-3552.4937631014313,-4554.251659508258,-5416.730633460995,-5261.515486341515
3,-5141.004299205699,-4711.6103789674935,-5416.730633460995,-7804.560957373643
4,-5317.673284944115,-6656.193379520693,-6224.923645749856,-7836.483730881898
5,-5986.2031154102915,-7401.267815081488,-6573.4306015878465,-7583.099122129091
6,-7334.67731304199,-7401.267815081488,-6573.4306015878465,-7684.158207884026
7,-7119.142368471286,-7549.97210294185,-6700.02495641826,-7718.166280148151
8,-8252.804309834017,-8817.269565687955,-7543.485840070958,-8458.554540143507
9,-8594.812504305537,-8934.815829662586,-8133.521835895788,-8653.313034327688
10,-9493.367150242972,-8988.224828165208,-8436.689420599929,-8673.092929009954
11,-11090.581400800154,-9692.772013869915,-8932.358160264708,-8722.719474513906
12,-11090.581400800154,-9895.483973738836,-9775.637264371266,-9057.179516875152
13,-10777.388063316408,-9895.483973738836,-9014.372291938578,-8724.612610903621
14,-11313.371399316691,-10844.743807490755,-10004.56229710422,-9346.099253712107
15,-11258.408252543904,-10844.743807490755,-9859.963434676238,-9619.646576053005
16,-13368.592461518458,-11626.732058870652,-10207.620784328685,-9407.491839101504
17,-13770.949895327292,-11407.132836862085,-10253.69786179371,-9712.773077257514
18,-13823.11231025877,-11681.230980434519,-11188.581025274863,-9965.679650928138
19,-14083.21019035664,-12042.483316750415,-11105.725127280662,-9844.046772044729
20,-14098.828397418418,-12265.362187992376,-11539.269178387429,-10259.99433664645
21,-14246.24777004411,-11973.648560034258,-11664.27411724902,-10791.658372633368
22,-14381.12989729884,-12230.457688532266,-12043.781597728856,-11134.842933000318
23,-14413.312888997232,-12105.68889544587,-13155.111630875468,-11274.3997448081
24,-14725.573184026582,-12250.786017296106,-13027.061683798653,-12047.709101062652
25,-15546.035276838538,-12719.044548975357,-13027.061683798653,-12047.709101062652
26,-15270.09158346017,-12208.363487152252,-13027.061683798653,-12261.968460058948
27,-15546.035276838538,-12326.533398702752,-12693.524009367258,-12419.248943203464
28,-15864.332477904883,-12468.236380323442,-12736.59038446175,-12714.256097226254
29,-15776.39161475852,-12703.149809205683,-12877.437942908513,-12714.256097226254
30,-15869.64460190479,-12703.149809205683,-12881.982615744253,-12587.409612641533
31,-15869.64460190479,-12703.149809205683,-13120.730791689937,-12871.402381416188
32,-15869.64460190479,-12703.149809205683,-13168.481963802175,-12871.402381416188
33,-15990.814624533286,-12720.7093952475,-13153.17092139088,-12871.402381416188
34,-16042.977039464764,-12716.880472917537,-13252.848023066066,-13216.116902696465
35,-16042.977039464764,-13420.841880149434,-13302.883449779096,-13216.116902696465
36,-16042.977039464764,-13420.841880149434,-13317.112823820677,-13361.397359445871
37,-16042.977039464764,-13420.841880149434,-13302.901981247192,-13791.76245350244
38,-16042.977039464764,-13420.841880149434,-13467.209460806233,-13791.76245350244
39,-16120.197096170286,-13456.20014740588,-13467.209460806233,-14149.412155717802
40,-16120.197096170286,-13479.806531123297,-13467.209460806233,-13846.896055910483
41,-16120.197096170286,-13479.806531123297,-13467.209460806233,-13818.11659693272
42,-16118.743302845804,-13479.806531123297,-13467.209460806233,-13796.61709299272
43,-16118.743302845804,-14194.045976541543,-13467.209460806233,-13990.751229751711
44,-16129.383884141289,-13658.291545872164,-13467.209460806233,-14024.158274138192
45,-16131.553723368721,-13672.022209584022,-13467.209460806233,-14449.621661589468
46,-16184.502506485522,-13672.022209584022,-13467.209460806233,-14760.601284933846
47,-16184.502506485522,-13672.022209584022,-13467.209460806233,-14760.601284933846
48,-16222.450793927845,-13758.591419130658,-13467.209460806233,-14760.601284933846
49,-16233.091375223328,-13758.591419130658,-13467.209460806233,-14760.601284933846
50,-16322.707691894731,-13864.616672524424,-13467.209460806233,-14772.97528611968
51,-16344.160775277454,-13772.55024088084,-13467.209460806233,-14772.97528611968
52,-16388.466895534453,-13990.498865154033,-13467.209460806233,-15130.803066611226
53,-16388.466895534453,-13990.498865154033,-13467.209460806233,-15038.684554559499
54,-16399.107476829937,-13990.498865154033,-13467.209460806233,-15038.684554559499
55,-16417.242303930514,-13990.498865154033,-13467.209460806233,-14870.045616029285
56,-16441.79918783782,-13990.498865154033,-13467.209460806233,-14870.045616029285
57,-16441.79918783782,-13990.498865154033,-13467.209460806233,-14792.354738135124
58,-16441.79918783782,-14012.860741556498,-13467.209460806233,-14804.728739320959
59,-16441.79918783782,-14037.479249209873,-13467.209460806233,-14804.728739320959
60,-16441.79918783782,-14098.417023302618,-13467.209460806233,-14804.728739320959
61,-16441.79918783782,-14613.183966489723,-13467.209460806233,-14804.728739320959
62,-16441.79918783782,-14613.183966489723,-13467.209460806233,-14860.329681784087
63,-16584.612322696168,-14613.183966489723,-13467.209460806233,-14860.329681784091
64,-16584.612322696168,-14682.796818207322,-13467.209460806233,-14848.494533249806
65,-16584.612322696168,-14742.07535800155,-13467.209460806233,-15126.577802875463
66,-16604.198194516535,-14742.07535800155,-13467.209460806233,-14848.494533249806
67,-16604.198194516535,-14742.07535800155,-13467.209460806233,-15035.813758975572
68,-16604.198194516535,-14742.07535800155,-13467.209460806233,-15035.813758975572
69,-16604.198194516535,-14742.07535800155,-13467.209460806233,-15096.417720491905
70,-17147.639094316888,-14742.07535800155,-13467.209460806233,-15096.417720491905
71,-16604.198194516535,-14742.07535800155,-13467.209460806233,-14848.494533249806
72,-16604.198194516535,-14742.07535800155,-13467.209460806233,-15035.813758975572
73,-16604.198194516535,-14742.07535800155,-13467.209460806233,-15035.813758975572
74,-16604.198194516535,-14800.354730817708,-13467.209460806233,-15086.23775567704
75,-16656.5227851982,-14800.354730817708,-13467.209460806233,-15035.813758975572
76,-16656.5227851982,-15113.672960074155,-13467.209460806233,-14848.494533249806
77,-16656.5227851982,-15113.672960074158,-13467.209460806233,-14757.730489349919
78,-16618.160795660617,-14800.354730817708,-13467.209460806233,-14757.730489349919
79,-16619.575936201298,-14800.35473081771,-13467.209460806233,-14845.476881664397
80,-16618.160795660617,-14800.35473081771,-13954.673927850425,-14845.476881664397
81,-16618.160795660617,-14800.35473081771,-13954.673927850425,-15092.615646316883
82,-16634.136811121407,-14800.35473081771,-13954.673927850425,-14845.476881664397
83,-16634.136811121407,-14800.354730817708,-13954.673927850425,-14754.799904167452
84,-16635.572230129525,-14800.354730817708,-13954.673927850425,-14754.799904167452
85,-16635.572230129525,-14800.354730817708,-13954.673927850425,-14587.23296281191
86,-16659.137626997643,-14742.07535800155,-13954.673927850425,-14587.23296281191
87,-16659.137626997643,-14742.075358001553,-13954.673927850425,-14587.23296281191
88,-16688.171612967188,-14742.075358001553,-13954.673927850425,-14594.335172248542
89,-16704.14762842798,-14742.075358001553,-13954.673927850425,-14594.335172248542
